Release_Date,Title,Production company,Cast and crew,Genre
23-Apr-21,Vanquish,Lionsgate,"George Gallo (director); Samuel Bartlett (screenplay); Ruby Rose, Morgan Freeman",
23-Apr-21,Together Together,Bleecker Street,"Nikole Beckwith (director/screenplay); Ed Helms, Patti Harrison, Tig Notaro",
23-Apr-21,We Broke Up,Vertical Entertainment,"Jeff Rosenberg (director/screenplay); Laura Jacqmin (screenplay); William Jackson Harper, Aya Cash",
23-Apr-21,The Deep Ones,123 Go Films,"Chad Ferrin (director/screenplay); Gina La Piana, Robert Miano, Johann Urb, Silvia Spross, Jackie Debatin, Nicolas Coster",
29-Apr-21,Things Heard & Seen,Netflix / Likely Story,"Shari Springer Berman and Robert Pulcini (director/screenplay); Amanda Seyfried, James Norton, Natalia Dyer, F. Murray Abraham",
30-Apr-21,Without Remorse,Amazon Studios / Paramount Pictures / Skydance Media,"Stefano Sollima (director); Taylor Sheridan, Will Staples (screenplay); Michael B. Jordan, Jamie Bell, Jodie Turner-Smith, Lauren London, Brett Gelman, Jacob Scipio, Jack Kesy, Colman Domingo, Guy Pearce",
30-Apr-21,The Virtuoso,Lionsgate,"Nick Stagliano (director/screenplay); James C. Wolf (screeplay); Anson Mount, Abbie Cornish, Eddie Marsan, David Morse, Anthony Hopkins",
30-Apr-21,Four Good Days,Vertical Entertainment,"Rodrigo García (director/screenplay); Eli Saslow (screenplay); Glenn Close, Mila Kunis, Stephen Root",
30-Apr-21,Separation,Open Road Films / Briarcliff Entertainment,"William Brent Bell (director); Nick Amadeus, Josh Braun (screenplay); Rupert Friend, Mamie Gummer, Violet McGraw, Brian Cox",
30-Apr-21,The Resort,Vertical Entertainment,"Taylor Chien (director/screenplay); Brock O'Hurn, Avery Pascual, Michael Vlamis, Michelle Randolph, Bianca Haase",
7-May-21,Wrath of Man,Metro-Goldwyn-Mayer / Miramax,"Guy Ritchie (director/screenplay); Ivan Atkinson, Marn Davies (screenplay); Jason Statham, Holt McCallany, Jeffrey Donovan, Josh Hartnett, Laz Alonso, Raúl Castillo, DeObia Oparei, Eddie Marsan, Scott Eastwood, Andy García",
7-May-21,Monster,Netflix / Bron Creative,"Anthony Mandler (director); Radha Blank, Cole Wiley, Janece Shaffer (screenplay); Kelvin Harrison Jr., Jennifer Ehle, Tim Blake Nelson, Nasir ""Nas"" Jones, Rakim ""A$AP Rocky"" Mayers, Paul Ben-Victor, John David Washington, Jennifer Hudson, Jeffrey Wright",
7-May-21,The Paper Tigers,Well Go USA Entertainment,"Tran Quoc Bao (director/screenplay); Alain Uy, Ron Yuan, Mykel Shannon Jenkins",
7-May-21,Mainstream,IFC Films / American Zoetrope,"Gia Coppola (director/screenplay); Tom Stuart (screenplay); Andrew Garfield, Maya Hawke, Nat Wolff, Johnny Knoxville, Jason Schwartzman",
7-May-21,The Water Man,RLJE Films,"David Oyelowo (director); Emma Needell (screenplay); David Oyelowo, Rosario Dawson, Lonnie Chavis, Amiah Miller, Alfred Molina, Maria Bello",
7-May-21,Here Today,Stage 6 Films,"Billy Crystal (director/screenplay); Alan Zweibel (screenplay); Billy Crystal, Tiffany Haddish, Penn Badgley, Laura Benanti, Louisa Krause",
7-May-21,Above Suspicion,Lionsgate,"Phillip Noyce (director); Chris Gerolmo (screenplay); Jack Huston, Emilia Clarke, Thora Birch, Johnny Knoxville",
7-May-21,Reboot Camp,Freestyle Releasing,"Ivo Raza (director/screenplay); David Koechner, Ed Begley Jr., Chaz Bono, Ja Rule, Shar Jackson, Eric Roberts",
7-May-21,Benny Loves You,Epic Pictures Group,"Karl Holt (director/screenplay); Karl Holt, Claire Cartwright, David Wayman, George Collie, James Parsons, Lydia Hourihan",
12-May-21,Oxygen,Netflix,"Alexandre Aja (director); Christine LeBlanc (screenplay); Mélanie Laurent, Mathieu Amalric, Malik Zidi",
14-May-21,Army of the Dead,Netflix / The Stone Quarry,"Zack Snyder (director/screenplay); Shay Hatten, Joby Harold (screenplay); Dave Bautista, Ella Purnell, Omari Hardwick, Ana de la Reguera, Theo Rossi, Matthias Schweighöfer, Nora Arnezeder, Hiroyuki Sanada, Tig Notaro, Raúl Castillo, Huma Qureshi, Garret Dillahunt",
14-May-21,Those Who Wish Me Dead,Warner Bros. Pictures / New Line Cinema / Bron Creative / HBO Max,"Taylor Sheridan (director/screenplay); Michael Koryta, Charles Leavitt (screenplay); Angelina Jolie, Nicholas Hoult, Finn Little, Aidan Gillen, Jake Weber, Medina Senghore, Jon Bernthal",
14-May-21,The Woman in the Window,Netflix / 20th Century Studios / Fox 2000 Pictures,"Joe Wright (director); Tracy Letts (screenplay); Amy Adams, Gary Oldman, Anthony Mackie, Fred Hechinger, Wyatt Russell, Brian Tyree Henry, Jennifer Jason Leigh, Julianne Moore",
14-May-21,Spiral,Lionsgate / Twisted Pictures,"Darren Lynn Bousman (director); Josh Stolberg, Pete Goldfinger (screenplay); Chris Rock, Max Minghella, Marisol Nichols, Samuel L. Jackson",
14-May-21,Georgetown,Vertical Entertainment,"Christoph Waltz (director); David Auburn (screenplay); Christoph Waltz, Vanessa Redgrave, Annette Bening, Corey Hawkins",
14-May-21,Finding You,Roadside Attractions,"Brian Baugh (director/screenplay); Rose Reid, Jedidiah Goodacre, Katherine McNamara, Patrick Bergin, Saoirse-Monica Jackson, Judith Hoag, Tom Everett Scott, Vanessa Redgrave",
14-May-21,The Killing of Two Lovers,Neon,"Robert Machoian (director/screenplay); Clayne Crawford, Sepideh Moafi, Chris Coy, Avery Pizzuto, Arri Graham, Ezra Graham",
18-May-21,616 Wilford Lane,Indican Pictures,"Mark S. Allen, Dante Yore (director/screenplay); Howard Burd (screenplay); John Littlefield, Eric Roberts, Alyson Gorske, Stevonte Hart, Eliza Roberts",
21-May-21,Dream Horse,Bleecker Street / Topic Studios / Film4 / Ingenious Media,"Euros Lyn (director); Neil McKay (screenplay); Toni Collette, Damian Lewis, Owen Teale, Joanna Page, Karl Johnson, Steffan Rhodri, Anthony O'Donnell, Nicholas Farrell, Siân Phillips",
21-May-21,Blast Beat,Stage 6 Films / Vertical Entertainment,"Esteban Arango (director/screenplay); Erick Castrillon (screenplay); Moisés Arias, Mateo Arias, Daniel Dae Kim, Kali Uchis, Ashley Jackson, Diane Guerrero, Wilmer Valderrama",
28-May-21,A Quiet Place Part II,Paramount Pictures / Platinum Dunes / Sunday Night Productions,"John Krasinski (director/screenplay); Emily Blunt, Cillian Murphy, Millicent Simmonds, Noah Jupe, Djimon Hounsou, John Krasinski",
28-May-21,Cruella,Walt Disney Pictures / Disney+,"Craig Gillespie (director); Dana Fox, Tony McNamara (screenplay); Emma Stone, Emma Thompson, Joel Fry, Paul Walter Hauser, Emily Beecham, Kirby Howell-Baptiste, Mark Strong",
28-May-21,Plan B,Hulu,"Natalie Morales (director); Prathi Srinivasan, Joshua Levy (screenplay); Kuhoo Verma, Victoria Moroles",
1-Jun-21,Changing the Game,Hulu,"Michael Barnett (director/screenplay); Amanda C. Griffin, Michael Mahaffie (screenplay); Mack Beggs, Sarah Rose Huckman, Terry Miller, Ngozi Nnaji, Andraya Yearwood",
4-Jun-21,Spirit Untamed,Universal Pictures / DreamWorks Animation,"Elaine Bogan, Ennio Torresan (directors); Aury Wallington (screenplay); Isabela Merced, Marsai Martin, Mckenna Grace, Julianne Moore, Jake Gyllenhaal, Walton Goggins, Eiza González",
4-Jun-21,The Conjuring: The Devil Made Me Do It,Warner Bros. Pictures / New Line Cinema / HBO Max,"Michael Chaves (director); David Leslie Johnson-McGoldrick (screenplay); Patrick Wilson, Vera Farmiga, Ruairi O'Connor, Sarah Catherine Hook, Julian Hilliard",
4-Jun-21,Gully,Vertical Entertainment,"Nabil Elderkin (director); Marcus J. Guillory (screenplay); Jacob Latimore, Charlie Plummer, Jonathan Majors, Kelvin Harrison Jr., Amber Heard, Terrence Howard",
4-Jun-21,Flashback,Lionsgate,"Christopher MacBride (director/screenplay); Dylan O'Brien, Maika Monroe, Hannah Gross, Emory Cohen, Keir Gilchrist",
4-Jun-21,Under the Stadium Lights,Film Bridge International / Saban Films,"Todd Randall (director); John Collins, Hamid Torabpour (screenplay); Milo Gibson, Laurence Fishburne, Glenn Morshower, Noel Gugliemi",
4-Jun-21,Grace and Grit,Quiver Distribution,"Sebastian Siegel (director/screenplay); Mena Suvari, Stuart Townsend, Frances Fisher, Rebekah Graf, Mariel Hemingway, Nick Stahl",
9-Jun-21,Awake,Netflix / Entertainment One,"Mark Raso (director/screenplay); Joseph Raso (screenplay); Gina Rodriguez, Jennifer Jason Leigh, Barry Pepper, Finn Jones, Gil Bellows",
10-Jun-21,In the Heights,Warner Bros. Pictures / Likely Story / Endeavor Content / HBO Max,"Jon M. Chu (director); Quiara Alegría Hudes (screenplay); Anthony Ramos, Corey Hawkins, Leslie Grace, Melissa Barrera, Olga Merediz, Daphne Rubin-Vega, Gregory Diaz IV, Stephanie Beatriz, Dascha Polanco, Jimmy Smits, Lin-Manuel Miranda",
10-Jun-21,Infinite,Paramount+ / Paramount Pictures,"Antoine Fuqua (director); Ian Shorr (screenplay); Mark Wahlberg, Chiwetel Ejiofor, Sophie Cookson, Jason Mantzoukas, Rupert Friend, Toby Jones, Dylan O'Brien",
11-Jun-21,Peter Rabbit 2: The Runaway,Columbia Pictures / MRC / Animal Logic,"Will Gluck (director/screenplay); Patrick Burleigh (screenplay); James Corden, Rose Byrne, Domhnall Gleeson, Margot Robbie, Elizabeth Debicki, Lennie James, David Oyelowo",
11-Jun-21,Wish Dragon,Netflix / Columbia Pictures / Sony Pictures Animation / Tencent Pictures,"Chris Appelhans (director/screenplay); Jimmy Wong, John Cho, Constance Wu, Natasha Liu Bordizzo, Jimmy O. Yang, Aaron Yoo, Will Yun Lee, Bobby Lee, Nico Santos, Ronny Chieng",
11-Jun-21,The Misfits,The Avenue Entertainment,"Renny Harlin (director); Robert Henny, Kurt Wimmer (screenplay); Pierce Brosnan, Rami Jaber, Hermione Corfield, Jamie Chung, Mike d Angelo, Tim Roth, Nick Cannon",
11-Jun-21,12 Mighty Orphans,Sony Pictures Classics,"Ty Roberts (director/screenplay); Lane Garrison, Kevin Meyer (screenplay); Luke Wilson, Vinessa Shaw, Wayne Knight, Jake Austin Walker, Jacob Lofland, Levi Dylan, Robert Duvall, Martin Sheen",
11-Jun-21,The House Next Door: Meet the Blacks 2,Lionsgate,"Deon Taylor (director/screenplay); Corey Harrell (screenplay); Mike Epps, Katt Williams, Bresha Webb, Lil Duval, Zulay Henao, Tyrin Turner, Michael Blackson, Andrew Bachelor, Gary Owen, Danny Trejo",
11-Jun-21,Queen Bees,Gravitas Ventures,"Michael Lembeck (director); Donald Martin (screenplay); Ellen Burstyn, James Caan, Ann-Margret, Jane Curtin, Christopher Lloyd, Loretta Devine",
11-Jun-21,DOMINO: Battle of the Bones,Dow Jazz Films,"Baron Davis, Carl Reid, Steven V. Vasquez Jr. (directors); Baron Davis, Carl Reid, Pamela Azmi-Andrew (screenplay); David Arquette, Snoop Dogg, Tom Lister Jr., Carlito Olivero",
16-Jun-21,Hitman's Wife's Bodyguard,Lionsgate / Millennium Media,"Patrick Hughes (director); Tom O'Connor, Brandon Murphy, Phillip Murphy (screenplay); Ryan Reynolds, Samuel L. Jackson, Salma Hayek, Frank Grillo, Richard E. Grant, Antonio Banderas, Morgan Freeman",
18-Jun-21,Luca,Disney+ / Walt Disney Pictures / Pixar Animation Studios,"Enrico Casarosa (director); Mike Jones, Jesse Andrews (screenplay); Jacob Tremblay, Jack Dylan Grazer, Emma Berman, Saverio Raimondo, Maya Rudolph, Marco Baricelli, Jim Gaffigan, Peter Sohn, Lorenzo Crisci, Marina Massironi, Sandy Martin",
18-Jun-21,Fatherhood,Netflix / Columbia Pictures / Bron Creative,"Paul Weitz (director/screenplay); Dana Stevens (screenplay); Kevin Hart, Alfre Woodard, Lil Rel Howery, DeWanda Wise, Anthony Carrigan, Melody Hurd, Paul Reiser",
18-Jun-21,The Birthday Cake,Screen Media Films,"Jimmy Giannopoulos (director/screenplay); Diomedes Raul Bermudez, Shiloh Fernandez (screenplay); Shiloh Fernandez, Val Kilmer, Ewan McGregor, Ashley Benson, Lorraine Bracco, David Mazouz",
18-Jun-21,Rita Moreno: Just a Girl Who Decided to Go for It,Roadside Attractions,"Mariem Pérez Riera (director/screenplay); Rita Moreno, Eva Longoria, George Chakiris, Gloria Estefan, Héctor Elizondo, Karen Olivo, Justina Machado, Lin-Manuel Miranda, Mitzi Gaynor, Morgan Freeman, Norman Lear, Terrence McNally, Whoopi Goldberg",
18-Jun-21,The Sparks Brothers,Focus Features / MRC,"Edgar Wright (director/screenplay); Ron Mael, Russell Mael",
18-Jun-21,Truman & Tennessee: An Intimate Conversation,Fischio Films / Peaceable Assembly,"Lisa Immordino Vreeland (director/screenplay); Jim Parsons, Zachary Quinto",
18-Jun-21,Stalker,Vertical Entertainment,"Tyler Savage (director/screenplay); Dash Hawkins (screenplay); Christine Ko, Vincent van Horn, Michael Joplin, Dusty Sorg, Carla Valentine, Scott Subiono",
18-Jun-21,Love Spreads,Dignity Film Finance / Film Shed,"Jamie Adams (director/screenplay); Alia Shawkat, Eiza González, Chanel Cresswell, Nick Helm, Dolly Wells, Tara Lee",
18-Jun-21,A Crime on the Bayou,Shout! Studios,"Nancy Buirski (director/screenplay); Gary Duncan, Richard Sobol",
23-Jun-21,Good on Paper,Netflix / Universal Pictures,"Kimmy Gatewood (director); Iliza Shlesinger (screenplay); Iliza Shlesinger, Ryan Hansen, Margaret Cho, Rebecca Rittenhouse",
25-Jun-21,F9,Universal Pictures / Original Film / One Race Films / Roth/Kirschenbaum Films,"Justin Lin (director/screenplay); Daniel Casey (screenplay); Vin Diesel, John Cena, Michelle Rodriguez, Tyrese Gibson, Chris ""Ludacris"" Bridges, Jordana Brewster, Nathalie Emmanuel, Sung Kang, Michael Rooker, Helen Mirren, Kurt Russell, Charlize Theron",
25-Jun-21,The Ice Road,Netflix,"Jonathan Hensleigh (director/screenplay); Liam Neeson, Benjamin Walker, Amber Midthunder, Marcus Thomas, Holt McCallany, Martin Sensmeier, Matt McCoy, Matt Salinger, Laurence Fishburne",
25-Jun-21,Werewolves Within,IFC Films / Ubisoft Film & Television,"Josh Ruben (director); Mishna Wolff (screenplay); Sam Richardson, Milana Vayntrub, George Basil, Sarah Burns, Michael Chernus, Catherine Curtin, Harvey Guillén, Cheyenne Jackson, Michaela Watkins, Glenn Fleshler",
25-Jun-21,False Positive,A24 / Hulu,"John Lee (director/screenplay); Ilana Glazer (screenplay); Ilana Glazer, Justin Theroux, Sophia Bush, Josh Hamilton, Pierce Brosnan",
25-Jun-21,Lansky,Vertical Entertainment,"Eytan Rockaway (director/screenplay); Harvey Keitel, Sam Worthington, AnnaSophia Robb, Minka Kelly, David James Elliott, John Magaro",
25-Jun-21,I Carry You with Me,Sony Pictures Classics / Stage 6 Films,"Heidi Ewing (director/screenplay); Alan Page Arriaga (screenplay); Armando Espitia, Christian Vázquez, Michelle Rodríguez, Ángeles Cruz, Arcelia Ramírez, Michelle González",
25-Jun-21,Mary J. Blige's My Life,Amazon Studios,"Vanessa Roth (director/screenplay); Mary J. Blige, Taraji P. Henson, Alicia Keys, Sean Combs",
25-Jun-21,Fathom,Apple TV+,"Drew Xanthopoulos (director/screenplay); Michelle Fournet, Ellen Garland",
25-Jun-21,Rollers,Level 33 Entertainment,"Isaiah Smallman (director); Johnny Ray Gill, Kate Cobb, Vicky Jeudy, Kevin Bigley",
30-Jun-21,America: The Motion Picture,Netflix / Floyd County Productions,"Matt Thompson (director); Dave Callaham (screenplay); Channing Tatum, Jason Mantzoukas, Olivia Munn, Bobby Moynihan, Judy Greer, Will Forte, Raoul Trujillo, Killer Mike, Simon Pegg, Andy Samberg",
30-Jun-21,Zola,A24,"Janicza Bravo (director/screenplay); Jeremy O. Harris (screenplay); Taylour Paige, Riley Keough, Nicholas Braun, Ari'el Stachel, Colman Domingo",
1-Jul-21,No Sudden Move,HBO Max / Warner Bros. Pictures,"Steven Soderbergh (director); Ed Solomon (screenplay); Don Cheadle, Benicio del Toro, David Harbour, Jon Hamm, Amy Seimetz, Brendan Fraser, Kieran Culkin, Noah Jupe, Craig Grant, Julia Fox, Frankie Shaw, Ray Liotta, Bill Duke",
2-Jul-21,The Tomorrow War,Amazon Studios / Skydance Media / Paramount Pictures,"Chris McKay (director); Zach Dean (screenplay); Chris Pratt, Yvonne Strahovski, J. K. Simmons, Betty Gilpin, Sam Richardson, Edwin Hodge, Jasmine Mathews, Ryan Kiera Armstrong, Keith Powers",
2-Jul-21,The Boss Baby: Family Business,Universal Pictures / DreamWorks Animation / Peacock,"Tom McGrath (director); Michael McCullers (screenplay); Alec Baldwin, James Marsden, Amy Sedaris, Ariana Greenblatt, Jeff Goldblum, Eva Longoria, Jimmy Kimmel, Lisa Kudrow",
2-Jul-21,The Forever Purge,Universal Pictures / Platinum Dunes / Blumhouse Productions,"Everardo Gout (director); James DeMonaco (screenplay); Ana de la Reguera, Tenoch Huerta, Josh Lucas, Cassidy Freeman, Leven Rambin, Alejandro Edda, Will Patton",
2-Jul-21,Fear Street Part One: 1994,Netflix / Chernin Entertainment,"Leigh Janiak (director/screenplay); Phil Graziadei (screenplay); Kiana Madeira, Olivia Scott Welch, Benjamin Flores Jr., Julia Rehwald, Fred Hechinger, Ashley Zukerman, Darrell Britt-Gibson, Maya Hawke, Jordana Spiro, Jordyn DiNatale",
2-Jul-21,Summer of Soul,Searchlight Pictures / Hulu,"Questlove (director); Stevie Wonder, Nina Simone, Sly and the Family Stone, Gladys Knight & the Pips, Mahalia Jackson, B.B. King, The 5th Dimension",
2-Jul-21,Till Death,Screen Media Films / Millennium Films,"S.K. Dale (director); Jason Carvey (screenplay); Megan Fox, Eoin Macken, Callan Mulvey, Jack Roth, Aml Ameen",
2-Jul-21,Let Us In,Samuel Goldwyn Films,"Craig Moss (director/screenplay); Joe Callero (screenplay); Mackenzie Moss, Sadie Stanley, Mackenzie Ziegler, Siena Agudong, Tobin Bell",
9-Jul-21,Black Widow,Marvel Studios / Disney+,"Cate Shortland (director); Eric Pearson (screenplay); Scarlett Johansson, Florence Pugh, David Harbour, O-T Fagbenle, Olga Kurylenko, William Hurt, Ray Winstone, Rachel Weisz",
9-Jul-21,Fear Street Part Two: 1978,Netflix / Chernin Entertainment,"Leigh Janiak (director/screenplay); Zak Olkewikz (screenplay); Sadie Sink, Emily Rudd, Ryan Simpkins, McCabe Slye, Ted Sutherland, Jordana Spiro, Gillian Jacobs, Kiana Madeira, Benjamin Flores Jr., Ashley Zukerman, Olivia Scott Welch, Jordyn DiNatale",
9-Jul-21,Summertime,Good Deed Entertainment,"Carlos López Estrada (director); Dave Harris (screenplay); Tyris Winter, Marquesha Babers, Maia Mayor, Austin Antoine, Bryce Banks",
14-Jul-21,Gunpowder Milkshake,Netflix / StudioCanal / STXfilms / The Picture Company,"Navot Papushado (director/screenplay); Ehud Lavski (screenplay); Karen Gillan, Lena Headey, Carla Gugino, Chloe Coleman, Michelle Yeoh, Angela Bassett, Paul Giamatti",
16-Jul-21,Space Jam: A New Legacy,Warner Bros. Pictures / Warner Animation Group / HBO Max,"Malcolm D. Lee (director); Juel Taylor, Tony Rettenmaier, Keenan Coogler, Terence Nance, Jesse Gordon, Celeste Ballard (screenplay); LeBron James, Don Cheadle, Khris Davis, Sonequa Martin-Green, Cedric Joe, Jeff Bergman, Eric Bauza, Zendaya",
16-Jul-21,Escape Room: Tournament of Champions,Columbia Pictures / Original Film,"Adam Robitel (director); Will Honley, Maria Melnik, Daniel Tuch, Oren Uziel (screenplay); Taylor Russell, Logan Miller, Indya Moore, Holland Roden, Thomas Cocquerel, Carlito Olivero, Isabelle Fuhrman",
16-Jul-21,Fear Street Part Three: 1666,Netflix / Chernin Entertainment,"Leigh Janiak (director/screenplay); Phil Graziadei (screenplay); Kiana Madeira, Ashley Zukerman, Gillian Jacobs, Olivia Scott Welch, Benjamin Flores Jr., Darrell Britt-Gibson, Fred Hechinger, Julia Rehwald, Sadie Sink, Emily Rudd, McCabe Slye, Jordana Spiro, Jordyn DiNatale",
16-Jul-21,Die in a Gunfight,Lionsgate,"Colin Schiffli (director); Andrew Barrer, Gabriel Ferrari (screenplay); Alexandra Daddario, Diego Boneta, Justin Chatwin, Wade Allain-Marcus, Billy Crudup, Emmanuelle Chriqui, Travis Fimmel",
16-Jul-21,Pig,Neon / Endeavour Content,"Michael Sarnoski (director/screenplay); Nicolas Cage, Alex Wolff, Adam Arkin",
16-Jul-21,Out of Death,Vertical Entertainment,"Mike Burns (director); Bill Lawrence (screenplay); Bruce Willis, Jaime King, Lala Kent",
16-Jul-21,Roadrunner: A Film About Anthony Bourdain,Focus Features,Morgan Neville (director/screenplay); Caitrin Rogers (screenplay); Anthony Bourdain,
20-Jul-21,How It Ends,American International Pictures,"Daryl Wein, Zoe Lister-Jones (director/screenplay); Zoe Lister-Jones, Cailee Spaeny, Olivia Wilde, Fred Armisen, Helen Hunt, Lamorne Morris, Nick Kroll",
21-Jul-21,Trollhunters: Rise of the Titans,Netflix / DreamWorks Animation,"Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco (directors); Guillermo del Toro, Marc Guggenheim, The Hageman Brothers (screenplay); Emile Hirsch, Lexi Medrano, Charlie Saxton, Kelsey Grammer, Fred Tatasciore, Colin O'Donoghue, Diego Luna, Tatiana Maslany, Steven Yeun, Cole Sand, Alfred Molina, Nick Frost, Nick Offerman",
23-Jul-21,Snake Eyes,Paramount Pictures / Metro-Goldwyn-Mayer / Skydance Media / Entertainment One,"Robert Schwentke (director); Evan Spiliotopoulos, Joe Shrapnel, Anna Waterhouse (screenplay); Henry Golding, Andrew Koji, Úrsula Corberó, Samara Weaving, Iko Uwais, Haruka Abe, Takehiro Hira, Peter Mensah",
23-Jul-21,Old,Universal Pictures / Perfect World Pictures / Blinding Edge Pictures,"M. Night Shyamalan (director/screenplay); Gael García Bernal, Vicky Krieps, Rufus Sewell, Alex Wolff, Thomasin McKenzie, Abbey Lee, Nikki Amuka-Bird, Ken Leung, Eliza Scanlen, Aaron Pierre, Embeth Davidtz, Emun Elliott",
23-Jul-21,Joe Bell,Roadside Attractions / Nine Stories Productions,"Reinaldo Marcus Green (director); Diana Ossana, Larry McMurtry (screenplay); Mark Wahlberg, Reid Miller, Connie Britton, Gary Sinise",
23-Jul-21,Jolt,Amazon Studios / Millennium Media,"Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale, Bobby Cannavale, Laverne Cox, Stanley Tucci, Jai Courtney, Susan Sarandon",
23-Jul-21,Midnight in the Switchgrass,Lionsgate,"Randall Emmett (director); Alan Horsnail (screenplay); Megan Fox, Bruce Willis, Emile Hirsch, Machine Gun Kelly, Lukas Haas",
23-Jul-21,Broken Diamonds,FilmRise / Black Label Media,"Peter Sattler (director); Steve Waverly (screenplay); Ben Platt, Lola Kirke, Yvette Nicole Brown, Alphonso McAuley, Lynda Boyd",
23-Jul-21,Val,Amazon Studios / A24,"Leo Scott, Ting Poo (directors); Val Kilmer",
23-Jul-21,Ailey,Neon,Jamila Wignot (director),
30-Jul-21,Jungle Cruise,Walt Disney Pictures / Davis Entertainment / Seven Bucks Productions / Disney+,"Jaume Collet-Serra (director); Michael Green, Glenn Ficarra, John Requa (screenplay); Dwayne Johnson, Emily Blunt, Édgar Ramírez, Jack Whitehall, Jesse Plemons, Paul Giamatti",
30-Jul-21,Vivo,Netflix / Columbia Pictures / Sony Pictures Animation,"Kirk DeMicco (director); Quiara Alegría Hudes (screenplay); Lin-Manuel Miranda, Ynairaly Simo, Zoe Saldana, Juan de Marcos González, Michael Rooker, Brian Tyree Henry, Nicole Byer, Gloria Estefan",
30-Jul-21,Stillwater,Focus Features / DreamWorks Pictures / Participant,"Tom McCarthy (director/screenplay); Marcus Hinchey, Thomas Bidegain, Noé Debré (screenplay); Matt Damon, Camille Cottin, Abigail Breslin",
30-Jul-21,The Green Knight,A24 / Bron Creative,"David Lowery (director/screenplay); Dev Patel, Alicia Vikander, Joel Edgerton, Sarita Choudhury, Sean Harris, Ralph Ineson, Barry Keoghan, Erin Kellyman, Kate Dickie",
30-Jul-21,Nine Days,Sony Pictures Classics,"Edson Oda (director/screenplay); Winston Duke, Zazie Beetz, Benedict Wong, Tony Hale, Bill Skarsgård",
30-Jul-21,Ride the Eagle,Decal / JTJ Films,"Trent O'Donnell (director/screenplay); Jake Johnson (screenplay); Jake Johnson, D'Arcy Carden, J.K. Simmons, Susan Sarandon",
30-Jul-21,The Evening Hour,Strand Releasing,"Braden King (director); Elizabeth Palmore (screenplay); Philip Ettinger, Stacy Martin, Cosmo Jarvis, Michael Trotter, Kerry Bishé, Lili Taylor",
30-Jul-21,Lorelei,Vertical Entertainment,"Sabrina Doyle (director/screenplay); Pablo Schreiber, Jena Malone",
30-Jul-21,Enemies of the State,IFC Films,Sonia Kennebeck (director),
5-Aug-21,The Suicide Squad,Warner Bros. Pictures / DC Films / Atlas Entertainment / HBO Max,"James Gunn (director/screenplay); Idris Elba, Margot Robbie, John Cena, Joel Kinnaman, Sylvester Stallone, Viola Davis, David Dastmalchian, Daniela Melchior, Michael Rooker, Jai Courtney, Peter Capaldi, Alice Braga, Pete Davidson, Nathan Fillion, Sean Gunn, Flula Borg, Mayling Ng",
6-Aug-21,Naked Singularity,Screen Media Films / Scott Free Productions,"Chase Palmer (director/screenplay); David Matthews (screenplay); John Boyega, Olivia Cooke, Bill Skarsgård, Ed Skrein, Linda Lavin, Tim Blake Nelson",
6-Aug-21,John and the Hole,IFC Films,"Pascual Sisto (director); Nicolás Giacobone (screenplay); Charlie Shotwell, Michael C. Hall, Jennifer Ehle, Taissa Farmiga",
6-Aug-21,Playing God,Vertical Entertainment,"Scott Brignac (director/screenplay); Hannah Kasulka, Luke Benward, Jude Demorest, Marc Menchaca, Alan Tudyk, Michael McKean",
6-Aug-21,Swan Song,Magnolia Pictures,"Todd Stephens (director/screenplay); Udo Kier, Jennifer Coolidge, Linda Evans, Michael Urie, Ira Hawkins, Stephanie McVay",
6-Aug-21,She Ball,Redbox Entertainment,"Nick Cannon (director/screenplay); Glenda L. Richardson (screenplay); Nick Cannon, Chris Brown, Jaliyuh Manuel, K.D. Aubert, Rebecca De Mornay, Tammy Brawner, Evan Ross",
11-Aug-21,The Kissing Booth 3,Netflix,"Vince Marcello (director/screenplay); Jay Arnold (screenplay); Joey King, Joel Courtney, Jacob Elordi, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young, Molly Ringwald",
12-Aug-21,Homeroom,Hulu,Peter Nicks (director),
13-Aug-21,Free Guy,20th Century Studios / 21 Laps Entertainment / Maximum Effort / TSG Entertainment,"Shawn Levy (director); Matt Lieberman, Zak Penn (screenplay); Ryan Reynolds, Jodie Comer, Lil Rel Howery, Utkarsh Ambudkar, Joe Keery, Taika Waititi",
13-Aug-21,Respect,Metro-Goldwyn-Mayer / Bron Creative,"Liesl Tommy (director); Tracey Scott Wilson (screenplay); Jennifer Hudson, Forest Whitaker, Marlon Wayans, Audra McDonald, Marc Maron, Tituss Burgess, Mary J. Blige",
13-Aug-21,Beckett,Netflix / Rai Cinema,"Ferdinando Cito Filomarino (director); Kevin A. Rice (screenplay); John David Washington, Boyd Holbrook, Vicky Krieps, Alicia Vikander",
13-Aug-21,Don't Breathe 2,Screen Gems / Stage 6 Films / Ghost House Pictures,"Rodo Sayagues (director/screenplay); Fede Álvarez (screenplay); Stephen Lang, Brendan Sexton III, Madelyn Grace",
13-Aug-21,CODA,Apple TV+ / Pathé Films,"Sian Heder (director/screenplay); Emilia Jones, Eugenio Derbez, Troy Kotsur, Ferdia Walsh-Peelo, Daniel Durant, Marlee Matlin",
